Feature1,Feature2,Class
0.8909877098993015,0.7542688314609782,0
0.059148514383051465,0.1879656133958587,0
0.2221739372918704,0.9161149043484563,0
0.6791649983893857,0.8045899088580634,0
0.8498622253921744,0.3804023113435899,0
0.16040369338235794,0.22939734960448566,0
0.8575564695155579,0.8721899662699588,0
0.9944918638568808,0.421221846053464,0
0.879892241361077,0.5661252194656571,0
0.42699603690394883,0.4469292717420681,0
2.9205348201631596,2.983347762444784,1
2.5499717881999358,2.7893271194580587,1
2.895727728466504,2.1888773158710175,1
2.404789821107463,2.7612681570537343,1
2.9488992057945795,2.8330289256497347,1
2.4185939450446363,2.1314434482741014,1
2.1676033236899106,2.5226665579607914,1
2.6907994500743966,2.136583633993939,1
2.447814744002178,2.0977393938913345,1
2.3077429782634837,2.2614085921366684,1
4.556849430753798,0.6478559563190072,2
4.128785642143043,0.46616822905523947,2
4.777346539219922,0.36710441512884784,2
4.197208196521279,0.5291840092986462,2
4.003080280363976,0.9166761823763704,2
4.02733730850913,0.47500422049147417,2
4.065522857264555,0.6294779003851733,2
4.874784207501758,0.2917353436023683,2
4.418480017365363,0.42326456489912234,2
4.122082053817987,0.9425656299630906,2
