feature_1,feature_2,feature_3,feature_4,feature_5,label
-2.8184286659420015,-0.467632275321884,-1.5001358762596286,-3.3993061748019415,-1.6323507070085785,1
-1.6046927473506691,2.0330233071930333,-0.6530587556110043,2.7740227740710526,-2.0074807967407464,3
-3.65224267735349,2.9669566453448164,-1.4553754255006615,2.449433515947262,-1.0789741602690066,3
1.2250371759360152,-0.6319057631851019,3.966916962508254,-2.039144026968342,3.2497104201843188,2
-0.33626716785652655,-1.6947568734686471,-1.4126083001939878,-0.58581271166891,-1.5526060629310243,1
1.779030400466777,2.614166700043425,2.757507710047305,1.4694988523894725,1.4241817593553199,0
-1.6191735816547461,3.3427218613511855,-1.7348360772534126,1.3510014795268424,-1.116393214005831,3
-2.6083507646793374,-1.4074696926822385,-1.5903638813160064,-1.643027240733074,-1.9187215779438012,1
1.8505443068350111,-3.430831201624672,1.5234461985664753,-2.298820089029204,1.641755622092492,2
3.9002684243109647,-0.9769434447477607,3.643541509120529,-1.6088721230672738,3.167509822986446,2
1.2515134634434464,3.551151975522523,2.1156746342928585,3.1792971840638264,2.067518481410109,0
1.8840029276784664,-0.1021127073412944,1.886187461586242,-0.9147777363383685,2.0385551687843178,2
2.7290636450023644,-1.6488345323729159,2.3416602319526265,-2.2713149780682973,0.7834191958642904,2
-2.2788833941507565,-1.1548420288156784,-2.0488971834741054,-3.405189846803575,-2.0524044505774697,1
-1.633393752986195,1.2042823364793884,-0.2535093684053784,3.027151035893151,-1.1916404503342917,3
-2.4776455826040054,-3.255135371973395,-2.12765468151819,-2.56060763684731,-4.929448690002268,1
-1.4431252776318544,3.8640485304117584,-4.141430880319705,1.300399191297636,-2.2093756133119133,3
0.34365405281262484,-1.1292533554115969,-1.05118690352838,-1.8693099755356177,-2.141525753366948,1
-1.0023679230797555,-2.2867942357382693,-1.240485112513892,-2.2917586322585373,-2.0598261435299037,1
-2.318748315246133,-3.0298118485418453,-2.1233440640461105,-1.690952556967346,-2.6556877194614437,1
-2.161767281165669,2.330867028406351,-1.250233371510815,2.609238830889753,-2.331864861821979,3
2.5646059258936003,0.9803356613078844,1.976447849125762,1.8256457420971641,2.2253079220409417,0
3.328166053957333,-2.504298015812623,1.3921761073843757,-3.765387587029974,3.7409414865969906,2
2.819739717258095,-2.195472643585974,2.297227221585086,-0.3327431582504661,-0.12399281812563556,2
